#PLT-Keyword;PlannedTransportID;PlannedTransportCode;PathSegmentCode;Departure;Arrival;Capacity;TotalPrice;
PLT;0;transport_4040_20250602;GER01PLANTGER02TERM-TRUCK-01;02/06/2025-00:00:00;04/06/2025-00:00:00;23.0;1936.0;
PLT;1;transport_4041_20250603;GER01PLANTGER02TERM-TRUCK-01;03/06/2025-00:00:00;05/06/2025-00:00:00;17.0;1844.0;
PLT;2;transport_4042_20250604;GER01PLANTGER02TERM-TRUCK-01;04/06/2025-00:00:00;06/06/2025-00:00:00;11.0;662.0;
PLT;3;transport_4043_20250605;GER01PLANTGER02TERM-TRUCK-01;05/06/2025-00:00:00;07/06/2025-00:00:00;8.0;905.0;
PLT;4;transport_4044_20250606;GER01PLANTGER02TERM-TRUCK-01;06/06/2025-00:00:00;08/06/2025-00:00:00;17.0;1597.0;
PLT;7;transport_4047_20250609;GER01PLANTGER02TERM-TRUCK-01;09/06/2025-00:00:00;11/06/2025-00:00:00;26.0;2417.0;
PLT;8;transport_4048_20250610;GER01PLANTGER02TERM-TRUCK-01;10/06/2025-00:00:00;12/06/2025-00:00:00;24.0;1994.0;
PLT;9;transport_4049_20250611;GER01PLANTGER02TERM-TRUCK-01;11/06/2025-00:00:00;13/06/2025-00:00:00;8.0;931.0;
PLT;10;transport_4050_20250612;GER01PLANTGER02TERM-TRUCK-01;12/06/2025-00:00:00;14/06/2025-00:00:00;10.0;1032.0;
PLT;11;transport_4051_20250613;GER01PLANTGER02TERM-TRUCK-01;13/06/2025-00:00:00;15/06/2025-00:00:00;16.0;1436.0;
PLT;14;transport_4054_20250616;GER01PLANTGER02TERM-TRUCK-01;16/06/2025-00:00:00;18/06/2025-00:00:00;25.0;2793.0;
PLT;15;transport_4055_20250617;GER01PLANTGER02TERM-TRUCK-01;17/06/2025-00:00:00;19/06/2025-00:00:00;17.0;1765.0;
PLT;17;transport_4057_20250619;GER01PLANTGER02TERM-TRUCK-01;19/06/2025-00:00:00;21/06/2025-00:00:00;11.0;1079.0;
PLT;18;transport_4058_20250620;GER01PLANTGER02TERM-TRUCK-01;20/06/2025-00:00:00;22/06/2025-00:00:00;21.0;1716.0;
PLT;22;transport_4062_20250624;GER01PLANTGER02TERM-TRUCK-01;24/06/2025-00:00:00;26/06/2025-00:00:00;20.0;2291.0;
PLT;23;transport_4063_20250625;GER01PLANTGER02TERM-TRUCK-01;25/06/2025-00:00:00;27/06/2025-00:00:00;8.0;879.0;
PLT;24;transport_4064_20250626;GER01PLANTGER02TERM-TRUCK-01;26/06/2025-00:00:00;28/06/2025-00:00:00;14.0;1417.0;
PLT;25;transport_4065_20250627;GER01PLANTGER02TERM-TRUCK-01;27/06/2025-00:00:00;29/06/2025-00:00:00;22.0;1359.0;
PLT;28;transport_4068_20250630;GER01PLANTGER02TERM-TRUCK-01;30/06/2025-00:00:00;02/07/2025-00:00:00;25.0;2576.0;
PLT;29;transport_4069_20250701;GER01PLANTGER02TERM-TRUCK-01;01/07/2025-00:00:00;03/07/2025-00:00:00;20.0;1807.0;
PLT;30;transport_4070_20250702;GER01PLANTGER02TERM-TRUCK-01;02/07/2025-00:00:00;04/07/2025-00:00:00;11.0;895.0;
PLT;31;transport_4071_20250703;GER01PLANTGER02TERM-TRUCK-01;03/07/2025-00:00:00;05/07/2025-00:00:00;7.0;825.0;
PLT;32;transport_4072_20250704;GER01PLANTGER02TERM-TRUCK-01;04/07/2025-00:00:00;06/07/2025-00:00:00;20.0;1355.0;
PLT;37;transport_4077_20250709;GER01PLANTGER02TERM-TRUCK-01;09/07/2025-00:00:00;11/07/2025-00:00:00;14.0;1501.0;
PLT;38;transport_4078_20250710;GER01PLANTGER02TERM-TRUCK-01;10/07/2025-00:00:00;12/07/2025-00:00:00;9.0;952.0;
PLT;39;transport_4079_20250711;GER01PLANTGER02TERM-TRUCK-01;11/07/2025-00:00:00;13/07/2025-00:00:00;23.0;2184.0;
PLT;42;transport_4082_20250714;GER01PLANTGER02TERM-TRUCK-01;14/07/2025-00:00:00;16/07/2025-00:00:00;27.0;1979.0;
PLT;43;transport_4083_20250715;GER01PLANTGER02TERM-TRUCK-01;15/07/2025-00:00:00;17/07/2025-00:00:00;21.0;1583.0;
PLT;44;transport_4084_20250716;GER01PLANTGER02TERM-TRUCK-01;16/07/2025-00:00:00;18/07/2025-00:00:00;12.0;778.0;
PLT;45;transport_4085_20250717;GER01PLANTGER02TERM-TRUCK-01;17/07/2025-00:00:00;19/07/2025-00:00:00;12.0;783.0;
PLT;46;transport_4086_20250718;GER01PLANTGER02TERM-TRUCK-01;18/07/2025-00:00:00;20/07/2025-00:00:00;19.0;2139.0;
PLT;49;transport_4089_20250721;GER01PLANTGER02TERM-TRUCK-01;21/07/2025-00:00:00;23/07/2025-00:00:00;21.0;2163.0;
PLT;50;transport_4090_20250722;GER01PLANTGER02TERM-TRUCK-01;22/07/2025-00:00:00;24/07/2025-00:00:00;20.0;1619.0;
