#TRO-Keyword;ID(long);Code;ModelCode;OriginCode;DestinationCode;AvailableDateOrigin;DesignatedPathCode;DueDateDestinaton;
#TRONXT-Keyword;TransportObjectCode;NextDispatchSiteCode;NextDispatchSiteArrivalDate;
#TROPTH-Keyword;TransportObjectCode;OptionIndex;PathCode;
TRO;1;veh0000000000001;Standard;GER01PLANT;FRA01DEAL;02/06/2025-00:00:00;GER01PLANT->FRA01DEAL-412;14/06/2025-00:00:00;
TRONXT;veh0000000000001;GER01PLANT;02/06/2025-00:00:00;
TROPTH;veh0000000000001;1;GER01PLANT->FRA01DEAL-536;
TROPTH;veh0000000000001;2;GER01PLANT->FRA01DEAL-278;
TRO;2;veh0000000000002;Standard;GER01PLANT;FRA01DEAL;02/06/2025-00:00:00;GER01PLANT->FRA01DEAL-412;10/06/2025-00:00:00;
TRONXT;veh0000000000002;GER01PLANT;02/06/2025-00:00:00;
TROPTH;veh0000000000002;1;GER01PLANT->FRA01DEAL-536;
TROPTH;veh0000000000002;2;GER01PLANT->FRA01DEAL-278;
TRO;3;veh0000000000003;Standard;GER01PLANT;FRA01DEAL;02/06/2025-00:00:00;GER01PLANT->FRA01DEAL-412;11/06/2025-00:00:00;
TRONXT;veh0000000000003;GER01PLANT;02/06/2025-00:00:00;
TROPTH;veh0000000000003;1;GER01PLANT->FRA01DEAL-536;
TROPTH;veh0000000000003;2;GER01PLANT->FRA01DEAL-278;
TRO;4;veh0000000000004;Standard;GER01PLANT;FRA01DEAL;02/06/2025-00:00:00;GER01PLANT->FRA01DEAL-412;12/06/2025-00:00:00;
TRONXT;veh0000000000004;GER01PLANT;02/06/2025-00:00:00;
TROPTH;veh0000000000004;1;GER01PLANT->FRA01DEAL-536;
TROPTH;veh0000000000004;2;GER01PLANT->FRA01DEAL-278;
TRO;5;veh0000000000005;Standard;GER01PLANT;FRA01DEAL;02/06/2025-00:00:00;GER01PLANT->FRA01DEAL-412;09/06/2025-00:00:00;
TRONXT;veh0000000000005;GER01PLANT;02/06/2025-00:00:00;
TROPTH;veh0000000000005;1;GER01PLANT->FRA01DEAL-536;
TROPTH;veh0000000000005;2;GER01PLANT->FRA01DEAL-278;
TRO;6;veh0000000000006;Standard;GER01PLANT;FRA01DEAL;02/06/2025-00:00:00;GER01PLANT->FRA01DEAL-412;17/06/2025-00:00:00;
TRONXT;veh0000000000006;GER01PLANT;02/06/2025-00:00:00;
TROPTH;veh0000000000006;1;GER01PLANT->FRA01DEAL-536;
TROPTH;veh0000000000006;2;GER01PLANT->FRA01DEAL-278;
TRO;7;veh0000000000007;Standard;GER01PLANT;FRA01DEAL;02/06/2025-00:00:00;GER01PLANT->FRA01DEAL-412;10/06/2025-00:00:00;
TRONXT;veh0000000000007;GER01PLANT;02/06/2025-00:00:00;
TROPTH;veh0000000000007;1;GER01PLANT->FRA01DEAL-536;
TROPTH;veh0000000000007;2;GER01PLANT->FRA01DEAL-278;
TRO;8;veh0000000000008;Standard;GER01PLANT;FRA01DEAL;02/06/2025-00:00:00;GER01PLANT->FRA01DEAL-412;14/06/2025-00:00:00;
TRONXT;veh0000000000008;GER01PLANT;02/06/2025-00:00:00;
TROPTH;veh0000000000008;1;GER01PLANT->FRA01DEAL-536;
TROPTH;veh0000000000008;2;GER01PLANT->FRA01DEAL-278;
TRO;9;veh0000000000009;Standard;GER01PLANT;FRA01DEAL;02/06/2025-00:00:00;GER01PLANT->FRA01DEAL-412;14/06/2025-00:00:00;
TRONXT;veh0000000000009;GER01PLANT;02/06/2025-00:00:00;
TROPTH;veh0000000000009;1;GER01PLANT->FRA01DEAL-536;
TROPTH;veh0000000000009;2;GER01PLANT->FRA01DEAL-278;
TRO;10;veh0000000000010;Standard;GER01PLANT;FRA01DEAL;02/06/2025-00:00:00;GER01PLANT->FRA01DEAL-412;11/06/2025-00:00:00;
TRONXT;veh0000000000010;GER01PLANT;02/06/2025-00:00:00;
TROPTH;veh0000000000010;1;GER01PLANT->FRA01DEAL-536;
TROPTH;veh0000000000010;2;GER01PLANT->FRA01DEAL-278;
