#PathSegment;DayOfWeek;DepartureDate;Volume;TotalPrice
GER01PLANTGER02TERM-TRAIN-01;MONDAY;03/06/2024-00:00:00;21.0;0.0
GER01PLANTGER02TERM-TRAIN-01;WEDNESDAY;05/06/2024-00:00:00;21.0;0.0
GER01PLANTGER02TERM-TRAIN-01;THURSDAY;06/06/2024-00:00:00;21.0;0.0
GER01PLANTGER02TERM-TRAIN-01;MONDAY;10/06/2024-00:00:00;21.0;0.0
GER01PLANTGER02TERM-TRAIN-01;TUESDAY;11/06/2024-00:00:00;21.0;0.0
GER01PLANTGER02TERM-TRAIN-01;THURSDAY;13/06/2024-00:00:00;21.0;0.0
GER01PLANTGER02TERM-TRAIN-01;MONDAY;17/06/2024-00:00:00;21.0;0.0
GER01PLANTGER02TERM-TRAIN-01;WEDNESDAY;19/06/2024-00:00:00;21.0;0.0
GER01PLANTGER02TERM-TRAIN-01;THURSDAY;20/06/2024-00:00:00;21.0;0.0
GER01PLANTGER02TERM-TRAIN-01;TUESDAY;25/06/2024-00:00:00;43.0;0.0
GER01PLANTGER02TERM-TRAIN-01;THURSDAY;27/06/2024-00:00:00;21.0;0.0
GER01PLANTGER02TERM-TRAIN-01;TUESDAY;02/07/2024-00:00:00;43.0;0.0
GER01PLANTGER02TERM-TRAIN-01;THURSDAY;04/07/2024-00:00:00;21.0;0.0
GER01PLANTGER02TERM-TRAIN-01;MONDAY;08/07/2024-00:00:00;21.0;0.0
GER01PLANTGER02TERM-TRAIN-01;TUESDAY;09/07/2024-00:00:00;21.0;0.0
GER01PLANTGER02TERM-TRAIN-01;FRIDAY;12/07/2024-00:00:00;21.0;0.0
GER01PLANTGER02TERM-TRAIN-01;MONDAY;15/07/2024-00:00:00;21.0;0.0
GER01PLANTGER02TERM-TRAIN-01;TUESDAY;16/07/2024-00:00:00;21.0;0.0
GER01PLANTGER02TERM-TRAIN-01;THURSDAY;18/07/2024-00:00:00;21.0;0.0
GER01PLANTGER02TERM-TRAIN-01;MONDAY;22/07/2024-00:00:00;21.0;0.0
GER01PLANTGER02TERM-TRAIN-01;TUESDAY;23/07/2024-00:00:00;21.0;0.0
GER01PLANTGER02TERM-TRAIN-01;FRIDAY;26/07/2024-00:00:00;21.0;0.0
GER01PLANTGER02TERM-TRAIN-01;MONDAY;29/07/2024-00:00:00;21.0;0.0
GER01PLANTGER02TERM-TRAIN-01;TUESDAY;30/07/2024-00:00:00;21.0;0.0
GER01PLANTGER02TERM-TRAIN-01;FRIDAY;02/08/2024-00:00:00;21.0;0.0
GER01PLANTGER02TERM-TRAIN-01;TUESDAY;06/08/2024-00:00:00;43.0;0.0
GER01PLANTGER02TERM-TRAIN-01;THURSDAY;08/08/2024-00:00:00;21.0;0.0
GER01PLANTGER02TERM-TRAIN-01;TUESDAY;13/08/2024-00:00:00;21.0;0.0
GER01PLANTGER02TERM-TRAIN-01;WEDNESDAY;14/08/2024-00:00:00;21.0;0.0
GER01PLANTGER02TERM-TRAIN-01;THURSDAY;15/08/2024-00:00:00;21.0;0.0
GER01PLANTGER02TERM-TRAIN-01;MONDAY;19/08/2024-00:00:00;21.0;0.0
GER01PLANTGER02TERM-TRAIN-01;TUESDAY;20/08/2024-00:00:00;21.0;0.0
GER01PLANTGER02TERM-TRAIN-01;FRIDAY;23/08/2024-00:00:00;21.0;0.0
GER01PLANTGER02TERM-TRAIN-01;MONDAY;26/08/2024-00:00:00;21.0;0.0
GER01PLANTGER02TERM-TRAIN-01;TUESDAY;27/08/2024-00:00:00;21.0;0.0
GER01PLANTGER02TERM-TRAIN-01;THURSDAY;29/08/2024-00:00:00;21.0;0.0
GER01PLANTGER02TERM-TRAIN-01;MONDAY;02/09/2024-00:00:00;21.0;0.0
GER01PLANTGER02TERM-TRAIN-01;WEDNESDAY;04/09/2024-00:00:00;21.0;0.0
GER01PLANTGER02TERM-TRAIN-01;THURSDAY;05/09/2024-00:00:00;21.0;0.0
GER01PLANTGER02TERM-TRAIN-01;TUESDAY;10/09/2024-00:00:00;21.0;0.0
GER01PLANTGER02TERM-TRAIN-01;WEDNESDAY;11/09/2024-00:00:00;21.0;0.0
GER01PLANTGER02TERM-TRAIN-01;FRIDAY;13/09/2024-00:00:00;21.0;0.0
GER01PLANTGER02TERM-TRAIN-01;MONDAY;16/09/2024-00:00:00;21.0;0.0
GER01PLANTGER02TERM-TRAIN-01;TUESDAY;17/09/2024-00:00:00;21.0;0.0
GER01PLANTGER02TERM-TRAIN-01;THURSDAY;19/09/2024-00:00:00;21.0;0.0
GER01PLANTGER02TERM-TRAIN-01;MONDAY;23/09/2024-00:00:00;21.0;0.0
GER01PLANTGER02TERM-TRAIN-01;TUESDAY;24/09/2024-00:00:00;21.0;0.0
GER01PLANTGER02TERM-TRAIN-01;THURSDAY;26/09/2024-00:00:00;21.0;0.0
GER01PLANTGER02TERM-TRAIN-01;MONDAY;30/09/2024-00:00:00;21.0;0.0
GER01PLANTGER02TERM-TRAIN-01;WEDNESDAY;02/10/2024-00:00:00;21.0;0.0
GER01PLANTGER02TERM-TRAIN-01;THURSDAY;03/10/2024-00:00:00;21.0;0.0
GER01PLANTGER02TERM-TRAIN-01;TUESDAY;08/10/2024-00:00:00;43.0;0.0
GER01PLANTGER02TERM-TRAIN-01;THURSDAY;10/10/2024-00:00:00;21.0;0.0
GER01PLANTGER02TERM-TRAIN-01;MONDAY;14/10/2024-00:00:00;21.0;0.0
GER01PLANTGER02TERM-TRAIN-01;WEDNESDAY;16/10/2024-00:00:00;21.0;0.0
GER01PLANTGER02TERM-TRAIN-01;THURSDAY;17/10/2024-00:00:00;21.0;0.0
GER01PLANTGER02TERM-TRAIN-01;MONDAY;21/10/2024-00:00:00;21.0;0.0
GER01PLANTGER02TERM-TRAIN-01;TUESDAY;22/10/2024-00:00:00;21.0;0.0
GER01PLANTGER02TERM-TRAIN-01;THURSDAY;24/10/2024-00:00:00;21.0;0.0
GER01PLANTGER02TERM-TRAIN-01;TUESDAY;29/10/2024-00:00:00;43.0;0.0
GER01PLANTGER02TERM-TRAIN-01;THURSDAY;31/10/2024-00:00:00;21.0;0.0
GER01PLANTGER02TERM-TRAIN-01;MONDAY;04/11/2024-00:00:00;21.0;0.0
GER01PLANTGER02TERM-TRAIN-01;WEDNESDAY;06/11/2024-00:00:00;21.0;0.0
GER01PLANTGER02TERM-TRAIN-01;THURSDAY;07/11/2024-00:00:00;21.0;0.0
GER01PLANTGER02TERM-TRAIN-01;MONDAY;11/11/2024-00:00:00;21.0;0.0
GER01PLANTGER02TERM-TRAIN-01;TUESDAY;12/11/2024-00:00:00;21.0;0.0
GER01PLANTGER02TERM-TRAIN-01;FRIDAY;15/11/2024-00:00:00;21.0;0.0
GER01PLANTGER02TERM-TRAIN-01;MONDAY;18/11/2024-00:00:00;21.0;0.0
GER01PLANTGER02TERM-TRAIN-01;TUESDAY;19/11/2024-00:00:00;21.0;0.0
GER01PLANTGER02TERM-TRAIN-01;THURSDAY;21/11/2024-00:00:00;21.0;0.0
GER01PLANTGER02TERM-TRAIN-01;MONDAY;25/11/2024-00:00:00;21.0;0.0
GER01PLANTGER02TERM-TRAIN-01;TUESDAY;26/11/2024-00:00:00;21.0;0.0
GER01PLANTGER02TERM-TRAIN-01;THURSDAY;28/11/2024-00:00:00;21.0;0.0
GER01PLANTGER02TERM-TRAIN-01;MONDAY;02/12/2024-00:00:00;21.0;0.0
GER01PLANTGER02TERM-TRAIN-01;TUESDAY;03/12/2024-00:00:00;21.0;0.0
GER01PLANTGER02TERM-TRAIN-01;THURSDAY;05/12/2024-00:00:00;21.0;0.0
GER01PLANTGER02TERM-TRAIN-01;MONDAY;09/12/2024-00:00:00;21.0;0.0
GER01PLANTGER02TERM-TRAIN-01;TUESDAY;10/12/2024-00:00:00;21.0;0.0
GER01PLANTGER02TERM-TRAIN-01;THURSDAY;12/12/2024-00:00:00;21.0;0.0
GER01PLANTGER02TERM-TRAIN-01;TUESDAY;17/12/2024-00:00:00;21.0;0.0
GER01PLANTGER02TERM-TRAIN-01;WEDNESDAY;18/12/2024-00:00:00;21.0;0.0
GER01PLANTGER02TERM-TRAIN-01;THURSDAY;19/12/2024-00:00:00;21.0;0.0
GER01PLANTGER02TERM-TRAIN-01;MONDAY;23/12/2024-00:00:00;21.0;0.0
GER01PLANTGER02TERM-TRAIN-01;TUESDAY;24/12/2024-00:00:00;21.0;0.0
GER01PLANTGER02TERM-TRAIN-01;THURSDAY;26/12/2024-00:00:00;21.0;0.0
GER01PLANTGER02TERM-TRAIN-01;MONDAY;30/12/2024-00:00:00;21.0;0.0
GER01PLANTGER02TERM-TRAIN-01;TUESDAY;31/12/2024-00:00:00;21.0;0.0
GER01PLANTGER02TERM-TRAIN-01;THURSDAY;02/01/2025-00:00:00;21.0;0.0
GER01PLANTGER02TERM-TRAIN-01;MONDAY;06/01/2025-00:00:00;21.0;0.0
GER01PLANTGER02TERM-TRAIN-01;TUESDAY;07/01/2025-00:00:00;21.0;0.0
GER01PLANTGER02TERM-TRAIN-01;FRIDAY;10/01/2025-00:00:00;21.0;0.0
GER01PLANTGER02TERM-TRAIN-01;TUESDAY;14/01/2025-00:00:00;43.0;0.0
GER01PLANTGER02TERM-TRAIN-01;FRIDAY;17/01/2025-00:00:00;21.0;0.0
GER01PLANTGER02TERM-TRAIN-01;MONDAY;20/01/2025-00:00:00;21.0;0.0
GER01PLANTGER02TERM-TRAIN-01;WEDNESDAY;22/01/2025-00:00:00;21.0;0.0
GER01PLANTGER02TERM-TRAIN-01;THURSDAY;23/01/2025-00:00:00;21.0;0.0
GER01PLANTGER02TERM-TRAIN-01;TUESDAY;28/01/2025-00:00:00;43.0;0.0
GER01PLANTGER02TERM-TRAIN-01;THURSDAY;30/01/2025-00:00:00;21.0;0.0
GER01PLANTGER02TERM-TRAIN-01;MONDAY;03/02/2025-00:00:00;21.0;0.0
GER01PLANTGER02TERM-TRAIN-01;TUESDAY;04/02/2025-00:00:00;21.0;0.0
GER01PLANTGER02TERM-TRAIN-01;THURSDAY;06/02/2025-00:00:00;21.0;0.0
GER01PLANTGER02TERM-TRAIN-01;MONDAY;10/02/2025-00:00:00;21.0;0.0
GER01PLANTGER02TERM-TRAIN-01;TUESDAY;11/02/2025-00:00:00;21.0;0.0
GER01PLANTGER02TERM-TRAIN-01;THURSDAY;13/02/2025-00:00:00;21.0;0.0
GER01PLANTGER02TERM-TRAIN-01;MONDAY;17/02/2025-00:00:00;21.0;0.0
GER01PLANTGER02TERM-TRAIN-01;TUESDAY;18/02/2025-00:00:00;21.0;0.0
GER01PLANTGER02TERM-TRAIN-01;THURSDAY;20/02/2025-00:00:00;21.0;0.0
GER01PLANTGER02TERM-TRAIN-01;MONDAY;24/02/2025-00:00:00;21.0;0.0
GER01PLANTGER02TERM-TRAIN-01;TUESDAY;25/02/2025-00:00:00;21.0;0.0
GER01PLANTGER02TERM-TRAIN-01;THURSDAY;27/02/2025-00:00:00;21.0;0.0
GER01PLANTGER02TERM-TRAIN-01;MONDAY;03/03/2025-00:00:00;21.0;0.0
GER01PLANTGER02TERM-TRAIN-01;TUESDAY;04/03/2025-00:00:00;21.0;0.0
GER01PLANTGER02TERM-TRAIN-01;THURSDAY;06/03/2025-00:00:00;21.0;0.0
GER01PLANTGER02TERM-TRAIN-01;MONDAY;10/03/2025-00:00:00;21.0;0.0
GER01PLANTGER02TERM-TRAIN-01;WEDNESDAY;12/03/2025-00:00:00;21.0;0.0
GER01PLANTGER02TERM-TRAIN-01;THURSDAY;13/03/2025-00:00:00;21.0;0.0
GER01PLANTGER02TERM-TRAIN-01;TUESDAY;18/03/2025-00:00:00;43.0;0.0
