#PLT-Keyword;PlannedTransportID;PlannedTransportCode;PathSegmentCode;Departure;Arrival;Capacity;TotalPrice;
PLT;0;transport_1491_20250602;GER01PLANTBEL01TERM-TRUCK-01;02/06/2025-00:00:00;04/06/2025-00:00:00;13.0;0.0;
PLT;1;transport_1492_20250603;GER01PLANTBEL01TERM-TRUCK-01;03/06/2025-00:00:00;05/06/2025-00:00:00;21.0;0.0;
PLT;2;transport_1493_20250604;GER01PLANTBEL01TERM-TRUCK-01;04/06/2025-00:00:00;06/06/2025-00:00:00;7.0;0.0;
PLT;4;transport_1495_20250606;GER01PLANTBEL01TERM-TRUCK-01;06/06/2025-00:00:00;08/06/2025-00:00:00;11.0;0.0;
PLT;7;transport_1498_20250609;GER01PLANTBEL01TERM-TRUCK-01;09/06/2025-00:00:00;11/06/2025-00:00:00;11.0;0.0;
PLT;8;transport_1499_20250610;GER01PLANTBEL01TERM-TRUCK-01;10/06/2025-00:00:00;12/06/2025-00:00:00;23.0;0.0;
PLT;9;transport_1500_20250611;GER01PLANTBEL01TERM-TRUCK-01;11/06/2025-00:00:00;13/06/2025-00:00:00;11.0;0.0;
PLT;10;transport_1501_20250612;GER01PLANTBEL01TERM-TRUCK-01;12/06/2025-00:00:00;14/06/2025-00:00:00;9.0;0.0;
PLT;11;transport_1502_20250613;GER01PLANTBEL01TERM-TRUCK-01;13/06/2025-00:00:00;15/06/2025-00:00:00;7.0;0.0;
PLT;14;transport_1505_20250616;GER01PLANTBEL01TERM-TRUCK-01;16/06/2025-00:00:00;18/06/2025-00:00:00;12.0;0.0;
PLT;16;transport_1507_20250618;GER01PLANTBEL01TERM-TRUCK-01;18/06/2025-00:00:00;20/06/2025-00:00:00;6.0;0.0;
PLT;17;transport_1508_20250619;GER01PLANTBEL01TERM-TRUCK-01;19/06/2025-00:00:00;21/06/2025-00:00:00;5.0;0.0;
PLT;18;transport_1509_20250620;GER01PLANTBEL01TERM-TRUCK-01;20/06/2025-00:00:00;22/06/2025-00:00:00;6.0;0.0;
PLT;21;transport_1512_20250623;GER01PLANTBEL01TERM-TRUCK-01;23/06/2025-00:00:00;25/06/2025-00:00:00;10.0;0.0;
PLT;22;transport_1513_20250624;GER01PLANTBEL01TERM-TRUCK-01;24/06/2025-00:00:00;26/06/2025-00:00:00;23.0;0.0;
PLT;23;transport_1514_20250625;GER01PLANTBEL01TERM-TRUCK-01;25/06/2025-00:00:00;27/06/2025-00:00:00;8.0;0.0;
PLT;24;transport_1515_20250626;GER01PLANTBEL01TERM-TRUCK-01;26/06/2025-00:00:00;28/06/2025-00:00:00;11.0;0.0;
PLT;25;transport_1516_20250627;GER01PLANTBEL01TERM-TRUCK-01;27/06/2025-00:00:00;29/06/2025-00:00:00;9.0;0.0;
PLT;28;transport_1519_20250630;GER01PLANTBEL01TERM-TRUCK-01;30/06/2025-00:00:00;02/07/2025-00:00:00;11.0;0.0;
PLT;29;transport_1520_20250701;GER01PLANTBEL01TERM-TRUCK-01;01/07/2025-00:00:00;03/07/2025-00:00:00;20.0;0.0;
PLT;30;transport_1521_20250702;GER01PLANTBEL01TERM-TRUCK-01;02/07/2025-00:00:00;04/07/2025-00:00:00;10.0;0.0;
PLT;31;transport_1522_20250703;GER01PLANTBEL01TERM-TRUCK-01;03/07/2025-00:00:00;05/07/2025-00:00:00;6.0;0.0;
PLT;32;transport_1523_20250704;GER01PLANTBEL01TERM-TRUCK-01;04/07/2025-00:00:00;06/07/2025-00:00:00;10.0;0.0;
PLT;35;transport_1526_20250707;GER01PLANTBEL01TERM-TRUCK-01;07/07/2025-00:00:00;09/07/2025-00:00:00;12.0;0.0;
PLT;36;transport_1527_20250708;GER01PLANTBEL01TERM-TRUCK-01;08/07/2025-00:00:00;10/07/2025-00:00:00;19.0;0.0;
PLT;37;transport_1528_20250709;GER01PLANTBEL01TERM-TRUCK-01;09/07/2025-00:00:00;11/07/2025-00:00:00;10.0;0.0;
PLT;38;transport_1529_20250710;GER01PLANTBEL01TERM-TRUCK-01;10/07/2025-00:00:00;12/07/2025-00:00:00;8.0;0.0;
PLT;39;transport_1530_20250711;GER01PLANTBEL01TERM-TRUCK-01;11/07/2025-00:00:00;13/07/2025-00:00:00;6.0;0.0;
PLT;42;transport_1533_20250714;GER01PLANTBEL01TERM-TRUCK-01;14/07/2025-00:00:00;16/07/2025-00:00:00;13.0;0.0;
PLT;44;transport_1535_20250716;GER01PLANTBEL01TERM-TRUCK-01;16/07/2025-00:00:00;18/07/2025-00:00:00;6.0;0.0;
PLT;45;transport_1536_20250717;GER01PLANTBEL01TERM-TRUCK-01;17/07/2025-00:00:00;19/07/2025-00:00:00;8.0;0.0;
PLT;46;transport_1537_20250718;GER01PLANTBEL01TERM-TRUCK-01;18/07/2025-00:00:00;20/07/2025-00:00:00;7.0;0.0;
PLT;49;transport_1540_20250721;GER01PLANTBEL01TERM-TRUCK-01;21/07/2025-00:00:00;23/07/2025-00:00:00;13.0;0.0;
PLT;50;transport_1541_20250722;GER01PLANTBEL01TERM-TRUCK-01;22/07/2025-00:00:00;24/07/2025-00:00:00;20.0;0.0;
PLT;51;transport_1542_20250723;GER01PLANTBEL01TERM-TRUCK-01;23/07/2025-00:00:00;25/07/2025-00:00:00;6.0;0.0;
PLT;52;transport_1543_20250724;GER01PLANTBEL01TERM-TRUCK-01;24/07/2025-00:00:00;26/07/2025-00:00:00;7.0;0.0;
PLT;53;transport_1544_20250725;GER01PLANTBEL01TERM-TRUCK-01;25/07/2025-00:00:00;27/07/2025-00:00:00;7.0;0.0;
PLT;56;transport_1547_20250728;GER01PLANTBEL01TERM-TRUCK-01;28/07/2025-00:00:00;30/07/2025-00:00:00;10.0;0.0;
PLT;57;transport_1548_20250729;GER01PLANTBEL01TERM-TRUCK-01;29/07/2025-00:00:00;31/07/2025-00:00:00;22.0;0.0;
PLT;58;transport_1549_20250730;GER01PLANTBEL01TERM-TRUCK-01;30/07/2025-00:00:00;01/08/2025-00:00:00;9.0;0.0;
PLT;59;transport_1550_20250731;GER01PLANTBEL01TERM-TRUCK-01;31/07/2025-00:00:00;02/08/2025-00:00:00;9.0;0.0;
PLT;60;transport_1551_20250801;GER01PLANTBEL01TERM-TRUCK-01;01/08/2025-00:00:00;03/08/2025-00:00:00;10.0;0.0;
PLT;0;transport_1553_20250602;GER01PLANTBEL01TERM-TRUCK-02;02/06/2025-00:00:00;04/06/2025-00:00:00;13.0;1957.0;
PLT;1;transport_1554_20250603;GER01PLANTBEL01TERM-TRUCK-02;03/06/2025-00:00:00;05/06/2025-00:00:00;6.0;1117.0;
PLT;4;transport_1557_20250606;GER01PLANTBEL01TERM-TRUCK-02;06/06/2025-00:00:00;08/06/2025-00:00:00;11.0;1073.0;
PLT;7;transport_1560_20250609;GER01PLANTBEL01TERM-TRUCK-02;09/06/2025-00:00:00;11/06/2025-00:00:00;11.0;2095.0;
PLT;8;transport_1561_20250610;GER01PLANTBEL01TERM-TRUCK-02;10/06/2025-00:00:00;12/06/2025-00:00:00;8.0;1118.0;
PLT;11;transport_1564_20250613;GER01PLANTBEL01TERM-TRUCK-02;13/06/2025-00:00:00;15/06/2025-00:00:00;7.0;697.0;
PLT;14;transport_1567_20250616;GER01PLANTBEL01TERM-TRUCK-02;16/06/2025-00:00:00;18/06/2025-00:00:00;12.0;2054.0;
PLT;18;transport_1571_20250620;GER01PLANTBEL01TERM-TRUCK-02;20/06/2025-00:00:00;22/06/2025-00:00:00;6.0;1047.0;
PLT;21;transport_1574_20250623;GER01PLANTBEL01TERM-TRUCK-02;23/06/2025-00:00:00;25/06/2025-00:00:00;10.0;1354.0;
PLT;22;transport_1575_20250624;GER01PLANTBEL01TERM-TRUCK-02;24/06/2025-00:00:00;26/06/2025-00:00:00;8.0;990.0;
PLT;25;transport_1578_20250627;GER01PLANTBEL01TERM-TRUCK-02;27/06/2025-00:00:00;29/06/2025-00:00:00;9.0;847.0;
PLT;28;transport_1581_20250630;GER01PLANTBEL01TERM-TRUCK-02;30/06/2025-00:00:00;02/07/2025-00:00:00;11.0;1725.0;
PLT;29;transport_1582_20250701;GER01PLANTBEL01TERM-TRUCK-02;01/07/2025-00:00:00;03/07/2025-00:00:00;5.0;672.0;
PLT;32;transport_1585_20250704;GER01PLANTBEL01TERM-TRUCK-02;04/07/2025-00:00:00;06/07/2025-00:00:00;10.0;1826.0;
PLT;35;transport_1588_20250707;GER01PLANTBEL01TERM-TRUCK-02;07/07/2025-00:00:00;09/07/2025-00:00:00;12.0;1927.0;
PLT;36;transport_1589_20250708;GER01PLANTBEL01TERM-TRUCK-02;08/07/2025-00:00:00;10/07/2025-00:00:00;4.0;445.0;
PLT;39;transport_1592_20250711;GER01PLANTBEL01TERM-TRUCK-02;11/07/2025-00:00:00;13/07/2025-00:00:00;6.0;698.0;
PLT;42;transport_1595_20250714;GER01PLANTBEL01TERM-TRUCK-02;14/07/2025-00:00:00;16/07/2025-00:00:00;13.0;1326.0;
PLT;46;transport_1599_20250718;GER01PLANTBEL01TERM-TRUCK-02;18/07/2025-00:00:00;20/07/2025-00:00:00;7.0;1124.0;
PLT;49;transport_1602_20250721;GER01PLANTBEL01TERM-TRUCK-02;21/07/2025-00:00:00;23/07/2025-00:00:00;13.0;1611.0;
PLT;50;transport_1603_20250722;GER01PLANTBEL01TERM-TRUCK-02;22/07/2025-00:00:00;24/07/2025-00:00:00;5.0;881.0;
PLT;53;transport_1606_20250725;GER01PLANTBEL01TERM-TRUCK-02;25/07/2025-00:00:00;27/07/2025-00:00:00;7.0;980.0;
PLT;56;transport_1609_20250728;GER01PLANTBEL01TERM-TRUCK-02;28/07/2025-00:00:00;30/07/2025-00:00:00;10.0;1231.0;
PLT;57;transport_1610_20250729;GER01PLANTBEL01TERM-TRUCK-02;29/07/2025-00:00:00;31/07/2025-00:00:00;7.0;812.0;
PLT;60;transport_1613_20250801;GER01PLANTBEL01TERM-TRUCK-02;01/08/2025-00:00:00;03/08/2025-00:00:00;10.0;917.0;
PLT;0;transport_1615_20250602;BEL01TERMFRA01DEAL-TRUCK-01;02/06/2025-00:00:00;04/06/2025-00:00:00;13.0;0.0;
PLT;1;transport_1616_20250603;BEL01TERMFRA01DEAL-TRUCK-01;03/06/2025-00:00:00;05/06/2025-00:00:00;9.0;0.0;
PLT;2;transport_1617_20250604;BEL01TERMFRA01DEAL-TRUCK-01;04/06/2025-00:00:00;06/06/2025-00:00:00;7.0;0.0;
PLT;4;transport_1619_20250606;BEL01TERMFRA01DEAL-TRUCK-01;06/06/2025-00:00:00;08/06/2025-00:00:00;11.0;0.0;
PLT;7;transport_1622_20250609;BEL01TERMFRA01DEAL-TRUCK-01;09/06/2025-00:00:00;11/06/2025-00:00:00;11.0;0.0;
PLT;8;transport_1623_20250610;BEL01TERMFRA01DEAL-TRUCK-01;10/06/2025-00:00:00;12/06/2025-00:00:00;11.0;0.0;
PLT;9;transport_1624_20250611;BEL01TERMFRA01DEAL-TRUCK-01;11/06/2025-00:00:00;13/06/2025-00:00:00;11.0;0.0;
PLT;10;transport_1625_20250612;BEL01TERMFRA01DEAL-TRUCK-01;12/06/2025-00:00:00;14/06/2025-00:00:00;21.0;0.0;
PLT;11;transport_1626_20250613;BEL01TERMFRA01DEAL-TRUCK-01;13/06/2025-00:00:00;15/06/2025-00:00:00;7.0;0.0;
PLT;14;transport_1629_20250616;BEL01TERMFRA01DEAL-TRUCK-01;16/06/2025-00:00:00;18/06/2025-00:00:00;12.0;0.0;
PLT;16;transport_1631_20250618;BEL01TERMFRA01DEAL-TRUCK-01;18/06/2025-00:00:00;20/06/2025-00:00:00;6.0;0.0;
PLT;17;transport_1632_20250619;BEL01TERMFRA01DEAL-TRUCK-01;19/06/2025-00:00:00;21/06/2025-00:00:00;17.0;0.0;
PLT;18;transport_1633_20250620;BEL01TERMFRA01DEAL-TRUCK-01;20/06/2025-00:00:00;22/06/2025-00:00:00;6.0;0.0;
PLT;21;transport_1636_20250623;BEL01TERMFRA01DEAL-TRUCK-01;23/06/2025-00:00:00;25/06/2025-00:00:00;10.0;0.0;
