#PLT-Keyword;PlannedTransportID;PlannedTransportCode;PathSegmentCode;Departure;Arrival;Capacity;TotalPrice;Unnamed: 8;CapacityAbsDiff001;CapacityAbsDiff002;CapacityAbsDiff003;CapacityAbsDiff004;CapacityAbsDiff005;CapacityAbsDiff006;CapacityAbsDiff007;CapacityAbsDiff008;CapacityAbsDiff009;CapacityAbsDiff010
PLT;1;transport0001;GER01PLANTGER02TERM-TRUCK-01;02/06/2025-00:00:00;04/06/2025-00:00:00;23.0;2070.0;;8.0;6.0;1.0;2.0;3.0;1.0;1.0;5.0;2.0;-1.0
PLT;2;transport0002;GER01PLANTGER02TERM-TRUCK-01;03/06/2025-00:00:00;05/06/2025-00:00:00;18.0;1620.0;;1.0;2.0;1.0;2.0;6.0;;-1.0;2.0;1.0;3.0
PLT;3;transport0003;GER01PLANTGER02TERM-TRUCK-01;04/06/2025-00:00:00;06/06/2025-00:00:00;9.0;810.0;;2.0;-1.0;-1.0;0.0;0.0;3.0;;-1.0;-1.0;-1.0
PLT;4;transport0004;GER01PLANTGER02TERM-TRUCK-01;05/06/2025-00:00:00;07/06/2025-00:00:00;9.0;810.0;;0.0;-2.0;-2.0;0.0;1.0;2.0;4.0;0.0;1.0;2.0
PLT;5;transport0005;GER01PLANTGER02TERM-TRUCK-01;06/06/2025-00:00:00;08/06/2025-00:00:00;18.0;1620.0;;-2.0;1.0;2.0;-1.0;-2.0;5.0;7.0;0.0;3.0;1.0
PLT;6;transport0006;GER01PLANTGER02TERM-TRUCK-01;09/06/2025-00:00:00;11/06/2025-00:00:00;23.0;2070.0;;3.0;-2.0;6.0;5.0;2.0;3.0;8.0;-1.0;-3.0;7.0
PLT;7;transport0007;GER01PLANTGER02TERM-TRUCK-01;10/06/2025-00:00:00;12/06/2025-00:00:00;18.0;1620.0;;-1.0;3.0;3.0;2.0;0.0;;-2.0;7.0;;
PLT;8;transport0008;GER01PLANTGER02TERM-TRUCK-01;11/06/2025-00:00:00;13/06/2025-00:00:00;9.0;810.0;;3.0;2.0;;2.0;3.0;;3.0;5.0;3.0;3.0
PLT;9;transport0009;GER01PLANTGER02TERM-TRUCK-01;12/06/2025-00:00:00;14/06/2025-00:00:00;9.0;810.0;;0.0;2.0;5.0;-1.0;3.0;0.0;-1.0;3.0;2.0;4.0
PLT;10;transport0010;GER01PLANTGER02TERM-TRUCK-01;13/06/2025-00:00:00;15/06/2025-00:00:00;18.0;1620.0;;7.0;2.0;-1.0;-2.0;2.0;7.0;1.0;1.0;3.0;3.0
PLT;11;transport0011;GER01PLANTGER02TERM-TRUCK-01;16/06/2025-00:00:00;18/06/2025-00:00:00;23.0;2070.0;;-2.0;-1.0;0.0;-1.0;;4.0;0.0;-1.0;7.0;4.0
PLT;12;transport0012;GER01PLANTGER02TERM-TRUCK-01;17/06/2025-00:00:00;19/06/2025-00:00:00;18.0;1620.0;;;-2.0;7.0;3.0;;3.0;5.0;0.0;1.0;4.0
PLT;13;transport0013;GER01PLANTGER02TERM-TRUCK-01;18/06/2025-00:00:00;20/06/2025-00:00:00;9.0;810.0;;6.0;0.0;1.0;0.0;4.0;0.0;0.0;-1.0;2.0;-1.0
PLT;14;transport0014;GER01PLANTGER02TERM-TRUCK-01;19/06/2025-00:00:00;21/06/2025-00:00:00;9.0;810.0;;5.0;3.0;2.0;5.0;0.0;0.0;2.0;3.0;2.0;2.0
PLT;15;transport0015;GER01PLANTGER02TERM-TRUCK-01;20/06/2025-00:00:00;22/06/2025-00:00:00;18.0;1620.0;;4.0;6.0;3.0;2.0;5.0;1.0;-1.0;3.0;1.0;1.0
PLT;16;transport0016;GER01PLANTGER02TERM-TRUCK-01;23/06/2025-00:00:00;25/06/2025-00:00:00;23.0;2070.0;;4.0;;;-1.0;3.0;-2.0;1.0;0.0;3.0;0.0
PLT;17;transport0017;GER01PLANTGER02TERM-TRUCK-01;24/06/2025-00:00:00;26/06/2025-00:00:00;18.0;1620.0;;5.0;7.0;2.0;0.0;6.0;4.0;2.0;;0.0;-1.0
PLT;18;transport0018;GER01PLANTGER02TERM-TRUCK-01;25/06/2025-00:00:00;27/06/2025-00:00:00;9.0;810.0;;1.0;-1.0;5.0;-2.0;0.0;2.0;1.0;1.0;;5.0
PLT;19;transport0019;GER01PLANTGER02TERM-TRUCK-01;26/06/2025-00:00:00;28/06/2025-00:00:00;9.0;810.0;;2.0;3.0;0.0;3.0;;-1.0;0.0;1.0;2.0;-1.0
PLT;20;transport0020;GER01PLANTGER02TERM-TRUCK-01;27/06/2025-00:00:00;29/06/2025-00:00:00;18.0;1620.0;;-1.0;7.0;4.0;2.0;0.0;8.0;4.0;7.0;5.0;1.0
PLT;21;transport0021;GER01PLANTGER02TERM-TRUCK-01;30/06/2025-00:00:00;02/07/2025-00:00:00;23.0;2070.0;;-2.0;2.0;7.0;4.0;5.0;1.0;1.0;4.0;5.0;2.0
PLT;22;transport0022;GER01PLANTGER02TERM-TRUCK-01;01/07/2025-00:00:00;03/07/2025-00:00:00;18.0;1620.0;;3.0;1.0;;2.0;3.0;3.0;3.0;7.0;3.0;2.0
PLT;23;transport0023;GER01PLANTGER02TERM-TRUCK-01;02/07/2025-00:00:00;04/07/2025-00:00:00;9.0;810.0;;3.0;2.0;2.0;2.0;5.0;2.0;2.0;1.0;0.0;-1.0
PLT;24;transport0024;GER01PLANTGER02TERM-TRUCK-01;03/07/2025-00:00:00;05/07/2025-00:00:00;9.0;810.0;;-1.0;-2.0;2.0;3.0;3.0;3.0;2.0;-1.0;0.0;3.0
PLT;25;transport0025;GER01PLANTGER02TERM-TRUCK-01;04/07/2025-00:00:00;06/07/2025-00:00:00;18.0;1620.0;;4.0;3.0;4.0;-1.0;2.0;-2.0;-2.0;-1.0;-1.0;2.0
PLT;26;transport0026;GER01PLANTGER02TERM-TRUCK-01;07/07/2025-00:00:00;09/07/2025-00:00:00;23.0;2070.0;;1.0;-2.0;3.0;1.0;-1.0;2.0;2.0;0.0;1.0;1.0
PLT;27;transport0027;GER01PLANTGER02TERM-TRUCK-01;08/07/2025-00:00:00;10/07/2025-00:00:00;18.0;1620.0;;1.0;6.0;2.0;-2.0;-1.0;1.0;;0.0;2.0;-2.0
PLT;28;transport0028;GER01PLANTGER02TERM-TRUCK-01;09/07/2025-00:00:00;11/07/2025-00:00:00;9.0;810.0;;0.0;2.0;1.0;;1.0;3.0;-1.0;4.0;5.0;
PLT;29;transport0029;GER01PLANTGER02TERM-TRUCK-01;10/07/2025-00:00:00;12/07/2025-00:00:00;9.0;810.0;;1.0;3.0;2.0;2.0;1.0;3.0;1.0;4.0;0.0;3.0
PLT;30;transport0030;GER01PLANTGER02TERM-TRUCK-01;11/07/2025-00:00:00;13/07/2025-00:00:00;18.0;1620.0;;-2.0;-2.0;-1.0;6.0;6.0;0.0;7.0;-2.0;-1.0;6.0
